Table,Purpose
users,"Stores user ID, face encodings, voice embeddings, preferences"
camera_vision,"Logs detected object attributes (shape, colour, position, etc.)"
voice_instructions,Stores raw transcribed voice input
gesture_instructions,Logs symbolic gestures with confidence scores
unified_instructions,Holds fused multi-modal instructions for task generation
sequence_library,"Defines reusable robot actions (e.g., pick, travel, drop)"
operation_sequence,Stores final task plans generated by the LLM and mapped to robot actions
access_logs,"Tracks all authentication events (method, timestamp, outcome)"
interaction_memory,Logs interaction history for contextual personalization
simulation_results,Captures feedback from Isaac Sim and real-world execution
